id,country_code,country,city,ip,host,port,supplier
1536,HK,Hong Kong,香港STC,218.102.52.37,suntechspeedtest.com.prod.hosts.ooklaserver.net,8080,STC
13538,HK,HongKong,香港CSL,203.210.2.91,csl.hkspeedtest.com,8080,CSL
28912,HK,HongKong,香港fdcservers,50.7.251.4,lg-hkg.fdcservers.net,8080,fdcservers.net
32155,HK,HongKong,香港HongKong,182.239.125.254,speedtest.hk.chinamobile.com,8080,CMHK Mobile Service
33414,HK,HongKong,香港HutchisonHK,124.217.143.7,speedtest.three.com.hk,8080,Hutchison HK
35791,HK,HongKong,香港SmarTone,203.78.41.10,kami.smartone.com,8080,SmarTone
37390,HK,HongKong,香港HGC環電,210.0.250.30,ookla-speedtest-central.hgconair.hgc.com.hk,8080,HGC環電
37639,HK,HongKong,香港HongKong,182.239.94.254,speedtestbb.hk.chinamobile.com,8080,CMHK Broadband
43356,HK,HongKong,香港1010,203.210.4.91,1010.hkspeedtest.com,8080,1010
44340,HK,HongKong,香港HongKong,210.57.36.162,hkthspeedtest02.telstraglobal.net,8080,Telstra International
44745,HK,HongKong,香港Misaka,156.0.200.220,hk-hkg12.speed.misaka.one,8080,"Misaka Network, Inc."
57779,HK,HongKong,香港ラタトスク,61.244.99.206,hoshiyomi.ratatoskr.org,8080,ラタトスク
60177,HK,HongKong,香港HongKong,203.210.2.92,hkt.hkspeedtest.com,8080,Club SIM by HKT
60178,HK,HongKong,香港SunMobile,203.210.4.92,sunmobile.hkspeedtest.com,8080,Sun Mobile
61296,HK,HongKong,香港HKIX,202.45.189.2,speedtest1c.hkix.net,8080,HKIX
62167,HK,HongKong,香港HongKong,178.173.224.254,speedtest.hk212.hkg.cn.nerocloud.io,8080,NEROCLOUD LTD
62191,HK,HongKong,香港HongKong,206.237.33.48,speedtest.finovy.com,8080,Finovy Pte. Ltd.
62193,HK,HongKong,香港HongKong,103.77.210.183,speedtest.hk210.hkg.cn.ctcsci.com,8080,CTCSCI TECH LTD
63076,HK,HongKong,香港SoSIM,124.217.142.7,sosimhk.datapath.three.com.hk,8080,SoSIM
63143,HK,HongKong,香港Netvigator,218.102.20.42,hkspeedtest.netvigator.com,8080,Netvigator
65463,HK,HongKong,香港HKBN,203.185.10.2,speedtest21.hkbn.net,8080,HKBN
67826,HK,HongKong,香港FPT,1.52.247.4,speedtesthkg.fpt.vn,8080,FPT Telecom
68983,HK,HongKong,香港RETN,103.194.237.34,speedtest-hkg.retn.net,8080,RETN
69119,HK,HongKong,香港RFCHOST,198.176.54.23,speedtest.rfchost.net,8080,RFCHOST
69574,HK,HongKong,香港HongKong,154.18.170.27,hk-bgp-speedtest.nearoute.io,8080,Nearoute Limited
