id,country_code,city,provider
2949,US,Sacramento,ONDA INTERNET
4068,US,York,Bytemark Hosting
9370,US,Lancaster,Broadband 4 the Rural North
10085,US,Sacramento,Gold Internet
10613,US,Rockingham,Optus
10623,US,Marion,Optus
10943,US,Santa Fe,Cablevideo Digital S.A
11270,US,Salem,BluWaves
11577,US,Angeles,Converge ICT Solutions Inc.
12956,US,Salem,Pink Broadband Service Pvt Ltd
13109,US,Rio Verde,5gnet
13892,US,Panama East,Digicel Panama
17107,US,Santa Fe,INFINITUM
17822,US,Filadelfia,Fila-Net
18736,US,Santa Fe,Telecom Personal
22881,US,Salem,Kings Broadband
23899,US,Angelina,CDI Telecom
26061,US,Rio Verde,GeekGo
26608,US,Santa Fé,Globo Net
28143,US,Hernando,"Cooperativa de Obras, Servicios Públicos y Sociales de Hernando Ltda."
28159,US,Lucas,America Internet
28415,US,Colorado,Pr10 Telecom
28998,US,York,New York Software Consultancy
31626,US,Salem,RAAGAV COMMUNICATIONS
32305,US,Aurora,VIRTUAL NET
33388,US,Sacramento,Sacranet Telecom
34394,US,Altos,FRANWEB
34626,US,New Clark City,Smart Communications
34712,US,Condado,Click.com
35807,US,Salem,Rainbow Communications India Pvt Ltd
36523,US,Rio Verde,HB Internet
36796,US,Moreno,Grupo Solunet
37223,US,Cássia,I4TELECOM
38741,US,Moreno,Fixa Telecomunicações do Brasil
39659,US,Santa Bárbara,XNET SN
39896,US,Salem,Asianet Broadband
41186,US,Clark City,Globe Telecom
42052,US,Solano,Mamuric7 Telecommunications Corporation
42760,US,Newport,Michaelston Y Fedw Internet CIC
43887,US,El Piñal,ICR NETWORK C.A
47252,US,Cambridge,County Broadband Ltd
47277,US,Salem,Muthayammal Engineering College
48544,US,Moreno,ZE.NET WISP
